Modelo,n_clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia
KMeans Baseline,3,0.2161,1.6154,2734.0298,32059.2893
KMeans Otimizado,3,0.2161,1.6155,2734.0301,32059.3038
